GEOID,GEOCODE,STATE,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
9700000US5514610,5514610,55,,,14610,20712176,4273738,Sturgeon Bay School District,Sturgeon Bay School District,9030
9700000US5514640,5514640,55,,,14640,203063167,764133,Sun Prairie Area School District,Sun Prairie Area School District,50734
9700000US5514670,5514670,55,,,14670,1016123917,33509359,Superior School District,Superior School District,33546
9700000US5514700,5514700,55,,,14700,771430559,14266351,Suring School District,Suring School District,4184
9700000US5514820,5514820,55,,,14820,400263899,1616080,Thorp School District,Thorp School District,4671
9700000US5514850,5514850,55,,,14850,694159459,83858329,Three Lakes School District,Three Lakes School District,4593
9700000US5514880,5514880,55,,,14880,250628033,270453,Tigerton School District,Tigerton School District,1867
9700000US5514910,5514910,55,,,14910,1182659757,32446106,Tomah Area School District,Tomah Area School District,20457
9700000US5514940,5514940,55,,,14940,1021985428,80084779,Tomahawk School District,Tomahawk School District,10286
9700000US5514970,5514970,55,,,14970,1045459066,12586165,Flambeau School District,Flambeau School District,4241
9700000US5515060,5515060,55,,,15060,276792473,14285784,Turtle Lake School District,Turtle Lake School District,3326
9700000US5515120,5515120,55,,,15120,73538846,2135015,Two Rivers School District,Two Rivers School District,12462
9700000US5515210,5515210,55,,,15210,297655165,3914590,Valders Area School District,Valders Area School District,6817
9700000US5515330,5515330,55,,,15330,139167750,676180,Verona Area School District,Verona Area School District,29298
9700000US5515360,5515360,55,,,15360,499185933,892781,Viroqua Area School District,Viroqua Area School District,8929
9700000US5515390,5515390,55,,,15390,883898685,23829648,Wabeno Area School District,Wabeno Area School District,3628
9700000US5515540,5515540,55,,,15540,480961776,924423,Washburn School District,Washburn School District,3862
9700000US5515570,5515570,55,,,15570,65994275,239932699,Washington School District,Washington School District,777
9700000US5515720,5515720,55,,,15720,205589396,2835779,Waterloo School District,Waterloo School District,5541
9700000US5515750,5515750,55,,,15750,428545439,5594207,Watertown School District,Watertown School District,29827
9700000US5515780,5515780,55,,,15780,180611124,2434837,Waukesha School District,Waukesha School District,94267
9700000US5515810,5515810,55,,,15810,141857007,3541922,Waunakee Community School District,Waunakee Community School District,21946
9700000US5515840,5515840,55,,,15840,403745709,9231332,Waupaca School District,Waupaca School District,15829
9700000US5515870,5515870,55,,,15870,434813769,23442504,Waupun School District,Waupun School District,19112
9700000US5515900,5515900,55,,,15900,660017974,9106909,Wausau School District,Wausau School District,55169
9700000US5515930,5515930,55,,,15930,1074212523,17094251,Wausaukee School District,Wausaukee School District,4114
9700000US5515960,5515960,55,,,15960,457225650,7935440,Wautoma Area School District,Wautoma Area School District,11209
9700000US5515990,5515990,55,,,15990,34258850,9422,Wauwatosa School District,Wauwatosa School District,48387
9700000US5516020,5516020,55,,,16020,241737408,5592941,Wauzeka-Steuben School District,Wauzeka-Steuben School District,1447
9700000US5516230,5516230,55,,,16230,1189292235,76341195,Webster School District,Webster School District,6135
9700000US5516260,5516260,55,,,16260,35851632,61582,West Allis School District,West Allis School District,67992
9700000US5516290,5516290,55,,,16290,256622764,4098049,West Bend School District,West Bend School District,52250
9700000US5516320,5516320,55,,,16320,120431209,2858636,West De Pere School District,West De Pere School District,25068
9700000US5516350,5516350,55,,,16350,245127932,2493573,West Salem School District,West Salem School District,10362
9700000US5516410,5516410,55,,,16410,441144121,404935,Westby Area School District,Westby Area School District,7911
9700000US5516440,5516440,55,,,16440,716931969,7666296,Westfield School District,Westfield School District,9049
9700000US5516470,5516470,55,,,16470,257627303,454866,Weston School District,Weston School District,2482
9700000US5516500,5516500,55,,,16500,357581672,44798184,Weyauwega-Fremont School District,Weyauwega-Fremont School District,6969
9700000US5516590,5516590,55,,,16590,487366890,7998659,White Lake School District,White Lake School District,1532
9700000US5516620,5516620,55,,,16620,5478616,0,Whitefish Bay School District,Whitefish Bay School District,14954
9700000US5516650,5516650,55,,,16650,356947042,137684,Whitehall School District,Whitehall School District,4976
9700000US5516680,5516680,55,,,16680,349625513,6459244,Whitewater School District,Whitewater School District,20444
9700000US5516710,5516710,55,,,16710,369689897,5944698,Wild Rose School District,Wild Rose School District,5025
9700000US5516740,5516740,55,,,16740,22703285,0,Williams Bay School District,Williams Bay School District,4003
9700000US5516830,5516830,55,,,16830,263160631,45165197,Winneconne Community School District,Winneconne Community School District,9916
9700000US5516860,5516860,55,,,16860,1673715507,27515574,Winter School District,Winter School District,3132
9700000US5517040,5517040,55,,,17040,467179618,19841682,Wisconsin Dells School District,Wisconsin Dells School District,13443
9700000US5517070,5517070,55,,,17070,599244748,9952579,Wisconsin Rapids School District,Wisconsin Rapids School District,35185
9700000US5517100,5517100,55,,,17100,661820274,5354504,Wittenberg-Birnamwood School District,Wittenberg-Birnamwood School District,7494
9700000US5517130,5517130,55,,,17130,245222656,1469088,Wonewoc-Union Center School District,Wonewoc-Union Center School District,3079
9700000US5517190,5517190,55,,,17190,206664908,1960802,Wrightstown Community School District,Wrightstown Community School District,7558
9700000US5599997,5599997,55,,,99997,143423873,23147192688,School District Not Defined,School District Not Defined,3
9700000US5599999,5599999,55,,,99999,3593567423,372310966,Wisconsin,Remainder of Wisconsin,222465
