GEOID,GEOCODE,STATE,COUNTY,CD116,AREALAND,AREAWATR,BASENAME,NAME,POP100
5101600US5505079,5505079,55,79,5,93611765,84989,Milwaukee,Milwaukee County (part),146515
5101600US5505127,5505127,55,127,5,16036499,772889,Walworth,Walworth County (part),11811
5101600US5505131,5505131,55,131,5,1115362166,12999404,Washington,Washington County,136761
5101600US5505133,5505133,55,133,5,817999812,53441935,Waukesha,Waukesha County (part),319536
5101600US5506021,5506021,55,21,6,1982756253,78834956,Columbia,Columbia County,58490
5101600US5506027,5506027,55,27,6,854690547,51185842,Dodge,Dodge County (part),53348
5101600US5506039,5506039,55,39,6,1863667254,119853823,Fond du Lac,Fond du Lac County,104154
5101600US5506047,5506047,55,47,6,905314776,79202664,Green Lake,Green Lake County,19018
5101600US5506071,5506071,55,71,6,1526295968,2343344181,Manitowoc,Manitowoc County,81359
5101600US5506077,5506077,55,77,6,1180288171,22670053,Marquette,Marquette County,15592
5101600US5506079,5506079,55,79,6,13480419,452589,Milwaukee,Milwaukee County (part),1692
5101600US5506089,5506089,55,89,6,603514413,2287415379,Ozaukee,Ozaukee County,91503
5101600US5506117,5506117,55,117,6,1324851053,1967647657,Sheboygan,Sheboygan County,118034
5101600US5506137,5506137,55,137,6,1621749913,29096948,Waushara,Waushara County,24520
5101600US5506139,5506139,55,139,6,864204088,336120615,Winnebago,Winnebago County (part),160064
5101600US5507003,5507003,55,3,7,2706458787,3230728318,Ashland,Ashland County,16027
5101600US5507005,5507005,55,5,7,2235281410,69194516,Barron,Barron County,46711
5101600US5507007,5507007,55,7,7,3827677060,1460300913,Bayfield,Bayfield County,16220
5101600US5507013,5507013,55,13,7,2127832847,151938079,Burnett,Burnett County,16526
5101600US5507017,5507017,55,17,7,1868908835,68405339,Chippewa,Chippewa County (part),27139
5101600US5507019,5507019,55,19,7,3133102168,23238832,Clark,Clark County,34659
5101600US5507031,5507031,55,31,7,3378047451,454294232,Douglas,Douglas County,44295
5101600US5507037,5507037,55,37,7,1264232456,24111637,Florence,Florence County,4558
5101600US5507041,5507041,55,41,7,2626878527,83594162,Forest,Forest County,9179
5101600US5507051,5507051,55,51,7,1963751254,416872439,Iron,Iron County,6137
5101600US5507053,5507053,55,53,7,813264363,19243925,Jackson,Jackson County (part),1971
5101600US5507057,5507057,55,57,7,876166074,83503128,Juneau,Juneau County (part),5912
5101600US5507067,5507067,55,67,7,2255098142,44277570,Langlade,Langlade County,19491
5101600US5507069,5507069,55,69,7,2275832535,72745054,Lincoln,Lincoln County,28415
5101600US5507073,5507073,55,73,7,4002035761,80651079,Marathon,Marathon County,138013
5101600US5507081,5507081,55,81,7,344788546,14271677,Monroe,Monroe County (part),4685
5101600US5507085,5507085,55,85,7,2885102826,317602310,Oneida,Oneida County,37845
5101600US5507095,5507095,55,95,7,2368077722,109025818,Polk,Polk County,44977
5101600US5507099,5507099,55,99,7,3247987870,62098964,Price,Price County,14054
5101600US5507107,5507107,55,107,7,2366092262,44813690,Rusk,Rusk County,14188
5101600US5507109,5507109,55,109,7,1870380099,33740130,St. Croix,St. Croix County,93536
5101600US5507113,5507113,55,113,7,3257188233,239912003,Sawyer,Sawyer County,18074
5101600US5507119,5507119,55,119,7,2525374187,24630990,Taylor,Taylor County,19913
5101600US5507125,5507125,55,125,7,2221455734,414418148,Vilas,Vilas County,23047
5101600US5507129,5507129,55,129,7,2064515991,145563849,Washburn,Washburn County,16623
5101600US5507141,5507141,55,141,7,1165957519,10147145,Wood,Wood County (part),30387
5101600US5508009,5508009,55,9,8,1372931376,221810753,Brown,Brown County,268740
5101600US5508015,5508015,55,15,8,824263566,204161565,Calumet,Calumet County,52442
5101600US5508029,5508029,55,29,8,1248277424,4890604607,Door,Door County,30066
5101600US5508061,5508061,55,61,8,886951790,1921336270,Kewaunee,Kewaunee County,20563
5101600US5508075,5508075,55,75,8,3624599046,389876770,Marinette,Marinette County,41872
5101600US5508078,5508078,55,78,8,926217566,19022479,Menominee,Menominee County,4255
5101600US5508083,5508083,55,83,8,2583464370,392038653,Oconto,Oconto County,38965
5101600US5508087,5508087,55,87,8,1651265932,18261063,Outagamie,Outagamie County,190705
5101600US5508115,5508115,55,115,8,2313441749,41883059,Shawano,Shawano County,40881
5101600US5508135,5508135,55,135,8,1936521055,45270535,Waupaca,Waupaca County,51812
5101600US5508139,5508139,55,139,8,261655682,36511101,Winnebago,Winnebago County (part),11666
