GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,AREALAND,AREAWATR,BASENAME,NAME,POP100
5211600US550202582625,5.50203E+11,55,25,82625,2,60318779,218860,Verona,Verona town,1947
5211600US550202582750,5.50203E+11,55,25,82750,2,90908480,784687,Vienna,Vienna town,1666
5211600US550202584350,5.50203E+11,55,25,84350,2,18569015,7400,Waunakee,Waunakee village,14879
5211600US550202586125,5.50203E+11,55,25,86125,2,51921022,2822739,Westport,Westport town,4191
5211600US550202587725,5.50203E+11,55,25,87725,2,71390773,282791,Windsor,Windsor village,8754
5211600US550202589450,5.50203E+11,55,25,89450,2,92728586,130357,York,York town,697
5211600US550204500325,5.50205E+11,55,45,325,2,93478783,0,Adams,Adams town,540
5211600US550204500750,5.50205E+11,55,45,750,2,3290424,63693,Albany,Albany village,1096
5211600US550204500775,5.50205E+11,55,45,775,2,88783917,264616,Albany,Albany town,1189
5211600US550204506300,5.50205E+11,55,45,6300,2,386313,0,Belleville,Belleville village,582
5211600US550204509925,5.50205E+11,55,45,9925,2,4283595,0,Brodhead,Brodhead city,3189
5211600US550204510075,5.50205E+11,55,45,10075,2,1463330,0,Brooklyn,Brooklyn village,498
5211600US550204510100,5.50205E+11,55,45,10100,2,91704791,27043,Brooklyn,Brooklyn town,1108
5211600US550204510475,5.50205E+11,55,45,10475,2,2728705,0,Browntown,Browntown village,245
5211600US550204511725,5.50205E+11,55,45,11725,2,94263685,365796,Cadiz,Cadiz town,747
5211600US550204515000,5.50205E+11,55,45,15000,2,94345872,0,Clarno,Clarno town,1133
5211600US550204519075,5.50205E+11,55,45,19075,2,88491525,491712,Decatur,Decatur town,1685
5211600US550204524725,5.50205E+11,55,45,24725,2,91086333,4709,Exeter,Exeter town,2156
5211600US550204537875,5.50205E+11,55,45,37875,2,100271337,18544,Jefferson,Jefferson town,1170
5211600US550204538550,5.50205E+11,55,45,38550,2,93256259,19624,Jordan,Jordan town,602
5211600US550204553750,5.50205E+11,55,45,53750,2,14505108,0,Monroe,Monroe city,10661
5211600US550204553775,5.50205E+11,55,45,53775,2,84470066,15810,Monroe,Monroe town,1291
5211600US550204554000,5.50205E+11,55,45,54000,2,3088544,41694,Monticello,Monticello village,1192
5211600US550204554850,5.50205E+11,55,45,54850,2,88767910,0,Mount Pleasant,Mount Pleasant town,619
5211600US550204556700,5.50205E+11,55,45,56700,2,4654635,0,New Glarus,New Glarus village,2266
5211600US550204556725,5.50205E+11,55,45,56725,2,88372634,0,New Glarus,New Glarus town,1393
5211600US550204576075,5.50205E+11,55,45,76075,2,103082939,0,Spring Grove,Spring Grove town,919
5211600US550204578875,5.50205E+11,55,45,78875,2,91109787,0,Sylvester,Sylvester town,1001
5211600US550204583625,5.50205E+11,55,45,83625,2,93155992,0,Washington,Washington town,842
5211600US550204589475,5.50205E+11,55,45,89475,2,93624691,0,York,York town,969
5211600US550204902550,5.50205E+11,55,49,2550,2,2989635,11872,Arena,Arena village,844
5211600US550204902575,5.50205E+11,55,49,2575,2,202031404,3802800,Arena,Arena town,1486
5211600US550204904025,5.50205E+11,55,49,4025,2,5829838,507209,Avoca,Avoca village,553
5211600US550204904775,5.50205E+11,55,49,4775,2,4967105,0,Barneveld,Barneveld village,1331
5211600US550204908125,5.50205E+11,55,49,8125,2,245151,0,Blanchardville,Blanchardville village,194
5211600US550204909600,5.50205E+11,55,49,9600,2,164628377,63154,Brigham,Brigham town,1037
5211600US550204915875,5.50205E+11,55,49,15875,2,88267559,1372196,Clyde,Clyde town,292
5211600US550204915975,5.50205E+11,55,49,15975,2,2308787,0,Cobb,Cobb village,480
5211600US550204920350,5.50205E+11,55,49,20350,2,10520935,0,Dodgeville,Dodgeville city,4984
5211600US550204920375,5.50205E+11,55,49,20375,2,231350838,921483,Dodgeville,Dodgeville town,1586
5211600US550204922525,5.50205E+11,55,49,22525,2,90926587,302490,Eden,Eden town,339
5211600US550204934450,5.50205E+11,55,49,34450,2,2947370,0,Highland,Highland village,874
5211600US550204934475,5.50205E+11,55,49,34475,2,167398372,558155,Highland,Highland town,724
5211600US550204935400,5.50205E+11,55,49,35400,2,1754645,0,Hollandale,Hollandale village,306
5211600US550204944625,5.50205E+11,55,49,44625,2,2021356,0,Linden,Linden village,504
5211600US550204944650,5.50205E+11,55,49,44650,2,157178953,19556,Linden,Linden town,755
5211600US550204945325,5.50205E+11,55,49,45325,2,545460,0,Livingston,Livingston village,12
5211600US550204951725,5.50205E+11,55,49,51725,2,131163988,0,Mifflin,Mifflin town,558
