GEOID,GEOCODE,STATE,COUNTY,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,POP100
612U600US55025013,55025013,55,13,25,1163888366,102988188,Burnett,Burnett County (part),6635
612U600US55025031,55025031,55,31,25,3378047451,454294232,Douglas,Douglas County,44295
612U600US55025033,55025033,55,33,25,94060392,115312,Dunn,Dunn County (part),673
612U600US55025051,55025051,55,51,25,1963751254,416872439,Iron,Iron County,6137
612U600US55025095,55025095,55,95,25,283004945,7389538,Polk,Polk County (part),2904
612U600US55025099,55025099,55,99,25,3247987870,62098964,Price,Price County,14054
612U600US55025109,55025109,55,109,25,96195644,131422,St. Croix,St. Croix County (part),638
612U600US55025113,55025113,55,113,25,469834300,40041098,Sawyer,Sawyer County (part),1824
612U600US55025125,55025125,55,125,25,256864472,73941941,Vilas,Vilas County (part),3552
612U600US55025129,55025129,55,129,25,2064515991,145563849,Washburn,Washburn County,16623
612U600US55026025,55026025,55,25,26,111546344,53897642,Dane,Dane County (part),201819
612U600US55027021,55027021,55,21,27,434589150,35465793,Columbia,Columbia County (part),15986
612U600US55027025,55027025,55,25,27,1547779866,14518173,Dane,Dane County (part),125555
612U600US55027045,55027045,55,45,27,594322662,73446,Green,Green County (part),11820
612U600US55027049,55027049,55,49,27,706169296,3955184,Iowa,Iowa County (part),7233
612U600US55027111,55027111,55,111,27,930988268,27340592,Sauk,Sauk County (part),34911
612U600US55028079,55028079,55,79,28,141514581,324714,Milwaukee,Milwaukee County (part),107747
612U600US55028101,55028101,55,101,28,87974039,5863890,Racine,Racine County (part),12056
612U600US55028127,55028127,55,127,28,39481967,235864,Walworth,Walworth County (part),806
612U600US55028133,55028133,55,133,28,247506238,15058994,Waukesha,Waukesha County (part),56886
612U600US55029019,55029019,55,19,29,89505171,477973,Clark,Clark County (part),840
612U600US55029073,55029073,55,73,29,2802540960,76804982,Marathon,Marathon County (part),118469
612U600US55029107,55029107,55,107,29,2366092262,44813690,Rusk,Rusk County,14188
612U600US55029113,55029113,55,113,29,2787353933,199870905,Sawyer,Sawyer County (part),16250
612U600US55029119,55029119,55,119,29,2525374187,24630990,Taylor,Taylor County,19913
612U600US55029141,55029141,55,141,29,142282830,33270,Wood,Wood County (part),6524
612U600US55030009,55030009,55,9,30,365141346,98440420,Brown,Brown County (part),140771
612U600US55030075,55030075,55,75,30,501552729,319143566,Marinette,Marinette County (part),22771
612U600US55030083,55030083,55,83,30,618236233,347381434,Oconto,Oconto County (part),17407
612U600US55031011,55031011,55,11,31,1750290818,87549529,Buffalo,Buffalo County,13317
612U600US55031017,55031017,55,17,31,878540,0,Chippewa,Chippewa County (part),216
612U600US55031033,55031033,55,33,31,502725872,10847232,Dunn,Dunn County (part),4048
612U600US55031035,55031035,55,35,31,607714695,9235767,Eau Claire,Eau Claire County (part),80699
612U600US55031053,55031053,55,53,31,1476333803,9813673,Jackson,Jackson County (part),18229
612U600US55031091,55031091,55,91,31,600894491,43241432,Pepin,Pepin County,7318
612U600US55031093,55031093,55,93,31,1362887440,48117192,Pierce,Pierce County (part),27451
612U600US55031109,55031109,55,109,31,2184873,719108,St. Croix,St. Croix County (part),11
612U600US55031121,55031121,55,121,31,1805535506,23150634,Trempealeau,Trempealeau County (part),28109
612U600US55032023,55032023,55,23,32,1477970925,73976386,Crawford,Crawford County,16113
612U600US55032063,55032063,55,63,32,1170166356,73159122,La Crosse,La Crosse County,120784
612U600US55032081,55032081,55,81,32,1001198276,434972,Monroe,Monroe County (part),12468
612U600US55032123,55032123,55,123,32,1957351581,64247561,Vernon,Vernon County (part),29791
612U600US55033133,55033133,55,133,33,600581316,41459404,Waukesha,Waukesha County (part),175777
