GEOID,GEOCODE,STATE,SLDU18,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
619U600US5500109030,5500109030,55,1,,,9030,696813,0,Menasha School District,Menasha School District (part),860
619U600US5500109750,5500109750,55,1,,,9750,263203332,1718340,Mishicot School District,Mishicot School District,6137
619U600US5500112690,5500112690,55,1,,,12690,145037988,964784,Reedsville School District,Reedsville School District (part),2351
619U600US5500113500,5500113500,55,1,,,13500,301706217,378056770,Sevastopol School District,Sevastopol School District,5302
619U600US5500114130,5500114130,55,1,,,14130,508298141,356053734,Southern Door County School District,Southern Door County School District,8147
619U600US5500114520,5500114520,55,1,,,14520,69496828,139159,Stockbridge School District,Stockbridge School District (part),1730
619U600US5500114610,5500114610,55,1,,,14610,20712176,4273738,Sturgeon Bay School District,Sturgeon Bay School District,9030
619U600US5500115120,5500115120,55,1,,,15120,73538846,2135015,Two Rivers School District,Two Rivers School District,12462
619U600US5500115570,5500115570,55,1,,,15570,65994275,239932699,Washington School District,Washington School District,777
619U600US5500116320,5500116320,55,1,,,16320,49634540,2727680,West De Pere School District,West De Pere School District (part),19083
619U600US5500117190,5500117190,55,1,,,17190,192405488,1635540,Wrightstown Community School District,Wrightstown Community School District (part),7016
619U600US5500199997,5500199997,55,1,,,99997,8222,5275696899,School District Not Defined,School District Not Defined (part),0
619U600US5500200056,5500200056,55,2,,,56,139757061,2612136,Gresham School District,Gresham School District,1705
619U600US5500200390,5500200390,55,2,,,390,1843409,0,Appleton Area School District,Appleton Area School District (part),892
619U600US5500200540,5500200540,55,2,,,540,26879017,1163054,Ashwaubenon School District,Ashwaubenon School District (part),15360
619U600US5500201470,5500201470,55,2,,,1470,286308276,1301502,Bonduel School District,Bonduel School District (part),4192
619U600US5500201560,5500201560,55,2,,,1560,203481048,341160,Bowler School District,Bowler School District (part),1342
619U600US5500202670,5500202670,55,2,,,2670,322035120,4124302,Clintonville School District,Clintonville School District (part),8359
619U600US5500203210,5500203210,55,2,,,3210,120873,0,De Pere Unified School District,De Pere Unified School District (part),0
619U600US5500204920,5500204920,55,2,,,4920,189564058,1558,Freedom Area School District,Freedom Area School District (part),9385
619U600US5500205820,5500205820,55,2,,,5820,31768037,1658403,Green Bay Area School District,Green Bay Area School District (part),33213
619U600US5500206600,5500206600,55,2,,,6600,148688718,2039526,Hortonville School District,Hortonville School District (part),7802
619U600US5500206630,5500206630,55,2,,,6630,27376001,0,Howard-Suamico School District,Howard-Suamico School District (part),12805
619U600US5500207290,5500207290,55,2,,,7290,56269762,1609341,Kaukauna Area School District,Kaukauna Area School District (part),21350
619U600US5500208160,5500208160,55,2,,,8160,2590246,0,Little Chute Area School District,Little Chute Area School District (part),2386
619U600US5500208550,5500208550,55,2,,,8550,30243167,89687,Manawa School District,Manawa School District (part),303
619U600US5500208730,5500208730,55,2,,,8730,134477351,1094727,Marion School District,Marion School District (part),1475
619U600US5500209070,5500209070,55,2,,,9070,6282769,4848,Menominee Indian School District,Menominee Indian School District (part),267
619U600US5500210590,5500210590,55,2,,,10590,154794489,2436114,New London School District,New London School District (part),2675
619U600US5500212330,5500212330,55,2,,,12330,296357386,357015,Pulaski Community School District,Pulaski Community School District (part),15864
619U600US5500213530,5500213530,55,2,,,13530,433697620,516967,Seymour Community School District,Seymour Community School District,12849
619U600US5500213620,5500213620,55,2,,,13620,385916871,24490144,Shawano School District,Shawano School District (part),16591
619U600US5500213770,5500213770,55,2,,,13770,275243775,6182271,Shiocton School District,Shiocton School District,4245
619U600US5500214880,5500214880,55,2,,,14880,238256823,254846,Tigerton School District,Tigerton School District (part),1858
