GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,SLDU18,SLDL18,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
7100000US5504300212163250,5504300212163250,55,43,63250,,,,2121,1314973,0,Platteville,Platteville city (part),1900
7100000US5504300212263250,5504300212263250,55,43,63250,,,,2122,1204942,0,Platteville,Platteville city (part),1305
7100000US5504300212363250,5504300212363250,55,43,63250,,,,2123,577356,0,Platteville,Platteville city (part),1418
7100000US5504300212463250,5504300212463250,55,43,63250,,,,2124,884758,0,Platteville,Platteville city (part),1278
7100000US5504300212563250,5504300212563250,55,43,63250,,,,2125,778178,0,Platteville,Platteville city (part),1278
7100000US5504300212661450,5504300212661450,55,43,61450,,,,2126,85362489,0,Patch Grove,Patch Grove town,364
7100000US5504300212761425,5504300212761420,55,43,61425,,,,2127,982094,0,Patch Grove,Patch Grove village,201
7100000US5504300212820175,5504300212820170,55,43,20175,,,,2128,8722,0,Dickeyville,Dickeyville village (part),0
7100000US5504300212861150,5504300212861150,55,43,61150,,,,2128,45421133,1049025,Paris,Paris town (part),411
7100000US5504300212952150,5504300212952150,55,43,52150,,,,2129,54566166,1761705,Millville,Millville town,127
7100000US5504300213037800,5504300213037800,55,43,37800,,,,2130,34224601,235864,Jamestown,Jamestown town (part),468
7100000US5504300213137800,5504300213137800,55,43,37800,,,,2131,19649992,0,Jamestown,Jamestown town (part),871
7100000US5504300213237800,5504300213237800,55,43,37800,,,,2132,25090141,8160408,Jamestown,Jamestown town (part),842
7100000US5504300213333525,5504300213333520,55,43,33525,,,,2133,43964674,0,Hazel Green,Hazel Green town (part),624
7100000US5504300213433525,5504300213433520,55,43,33525,,,,2134,46974398,0,Hazel Green,Hazel Green town (part),460
7100000US5504300213533500,5504300213533500,55,43,33500,,,,2135,1753264,0,Hazel Green,Hazel Green village (part),587
7100000US5504300213633500,5504300213633500,55,43,33500,,,,2136,1411130,0,Hazel Green,Hazel Green village (part),564
7100000US5504300213732825,5504300213732820,55,43,32825,,,,2137,93795475,0,Harrison,Harrison town,529
7100000US5504300213829525,5504300213829520,55,43,29525,,,,2138,88587111,3301660,Glen Haven,Glen Haven town,363
7100000US5504300213925600,5504300213925600,55,43,25600,,,,2139,13478,0,Fennimore,Fennimore city (part),0
7100000US5504300213925625,5504300213925620,55,43,25625,,,,2139,61231411,0,Fennimore,Fennimore town (part),407
7100000US5504300214025600,5504300214025600,55,43,25600,,,,2140,1524574,0,Fennimore,Fennimore city (part),719
7100000US5504300214125600,5504300214125600,55,43,25600,,,,2141,1706572,0,Fennimore,Fennimore city (part),720
7100000US5504300214225600,5504300214225600,55,43,25600,,,,2142,577512,0,Fennimore,Fennimore city (part),660
7100000US5504300214325600,5504300214325600,55,43,25600,,,,2143,659006,0,Fennimore,Fennimore city (part),665
7100000US5504300214325625,5504300214325620,55,43,25625,,,,2143,3574,0,Fennimore,Fennimore town (part),0
7100000US5504300214423400,5504300214423400,55,43,23400,,,,2144,93770822,0,Ellenboro,Ellenboro town,580
7100000US5504300214520175,5504300214520170,55,43,20175,,,,2145,530862,0,Dickeyville,Dickeyville village (part),319
7100000US5504300214620175,5504300214620170,55,43,20175,,,,2146,2077510,0,Dickeyville,Dickeyville village (part),696
7100000US5504300214713075,5504300214713070,55,43,13075,,,,2147,86274656,8456616,Cassville,Cassville town,402
7100000US5504300214813050,5504300214813050,55,43,13050,,,,2148,991884,51037,Cassville,Cassville village (part),202
7100000US5504300214913050,5504300214913050,55,43,13050,,,,2149,1697979,112692,Cassville,Cassville village (part),575
7100000US5504300215008400,5504300215008400,55,43,8400,,,,2150,94229685,9349321,Bloomington,Bloomington town,331
7100000US5504300215108375,5504300215108370,55,43,8375,,,,2151,3268406,0,Bloomington,Bloomington village,741
7100000US5504300215206100,5504300215206100,55,43,6100,,,,2152,124811106,0,Beetown,Beetown town,723
7100000US5504300215304250,5504300215304250,55,43,4250,,,,2153,1858788,52271,Bagley,Bagley village,356
7100000US5504300215408525,5504300215408520,55,43,8525,,,,2154,2360661,0,Blue River,Blue River village,457
7100000US5504300215508850,5504300215508850,55,43,8850,,,,2155,3599940,0,Boscobel,Boscobel city (part),909
7100000US5504300215508875,5504300215508870,55,43,8875,,,,2155,4151,0,Boscobel,Boscobel town (part),0
7100000US5504300215608850,5504300215608850,55,43,8850,,,,2156,1104170,0,Boscobel,Boscobel city (part),777
7100000US5504300215608875,5504300215608870,55,43,8875,,,,2156,1529,0,Boscobel,Boscobel town (part),0
7100000US5504300215708850,5504300215708850,55,43,8850,,,,2157,2564066,0,Boscobel,Boscobel city (part),836
7100000US5504300215708875,5504300215708870,55,43,8875,,,,2157,0,119846,Boscobel,Boscobel town (part),0
7100000US5504300215808850,5504300215808850,55,43,8850,,,,2158,989548,0,Boscobel,Boscobel city (part),764
7100000US5504300215808875,5504300215808870,55,43,8875,,,,2158,1969,0,Boscobel,Boscobel town (part),4
7100000US5504300215908875,5504300215908870,55,43,8875,,,,2159,10981890,551866,Boscobel,Boscobel town (part),173
7100000US5504300216008850,5504300216008850,55,43,8850,,,,2160,39751,0,Boscobel,Boscobel city (part),0
7100000US5504300216008875,5504300216008870,55,43,8875,,,,2160,6169420,532265,Boscobel,Boscobel town (part),202
7100000US5504300216084075,5504300216084070,55,43,84075,,,,2160,12725,0,Watterstown,Watterstown town (part),0
7100000US5504300216113100,5504300216113100,55,43,13100,,,,2161,92789629,0,Castle Rock,Castle Rock town,240
7100000US5504300216215500,5504300216215500,55,43,15500,,,,2162,74803326,13077,Clifton,Clifton town (part),285
