GEOID,GEOCODE,STATE,COUNTY,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
622L600US55073031,55073031,55,31,73,2917323835,448227227,Douglas,Douglas County (part),43099
622L600US55073129,55073129,55,129,73,1131446476,66148305,Washburn,Washburn County (part),8970
622L600US55074003,55074003,55,3,74,2706458787,3230728318,Ashland,Ashland County,16027
622L600US55074007,55074007,55,7,74,3827677060,1460300913,Bayfield,Bayfield County,16220
622L600US55074031,55074031,55,31,74,460723616,6067005,Douglas,Douglas County (part),1196
622L600US55074051,55074051,55,51,74,1963751254,416872439,Iron,Iron County,6137
622L600US55074099,55074099,55,99,74,3247987870,62098964,Price,Price County,14054
622L600US55074113,55074113,55,113,74,469834300,40041098,Sawyer,Sawyer County (part),1824
622L600US55074125,55074125,55,125,74,256864472,73941941,Vilas,Vilas County (part),3552
622L600US55075005,55075005,55,5,75,2234584622,69194516,Barron,Barron County (part),46686
622L600US55075013,55075013,55,13,75,90973193,557230,Burnett,Burnett County (part),197
622L600US55075033,55075033,55,33,75,94060392,115312,Dunn,Dunn County (part),673
622L600US55075095,55075095,55,95,75,283004945,7389538,Polk,Polk County (part),2904
622L600US55075109,55075109,55,109,75,96195644,131422,St. Croix,St. Croix County (part),638
622L600US55075129,55075129,55,129,75,933069515,79415544,Washburn,Washburn County (part),7653
622L600US55076025,55076025,55,25,76,16894437,151026,Dane,Dane County (part),71685
622L600US55077025,55077025,55,25,77,43762971,53593743,Dane,Dane County (part),62992
622L600US55078025,55078025,55,25,78,50888936,152873,Dane,Dane County (part),67142
622L600US55079025,55079025,55,25,79,485302607,5475462,Dane,Dane County (part),69732
622L600US55080025,55080025,55,25,80,847330107,2700061,Dane,Dane County (part),49107
622L600US55080045,55080045,55,45,80,594322662,73446,Green,Green County (part),11820
622L600US55080049,55080049,55,49,80,501148257,140512,Iowa,Iowa County (part),4903
622L600US55081021,55081021,55,21,81,434589150,35465793,Columbia,Columbia County (part),15986
622L600US55081025,55081025,55,25,81,215147152,6342650,Dane,Dane County (part),6716
622L600US55081049,55081049,55,49,81,205021039,3814672,Iowa,Iowa County (part),2330
622L600US55081111,55081111,55,111,81,930988268,27340592,Sauk,Sauk County (part),34911
622L600US55082079,55082079,55,79,82,107001669,294054,Milwaukee,Milwaukee County (part),59196
622L600US55083079,55083079,55,79,83,9340462,15882,Milwaukee,Milwaukee County (part),8656
622L600US55083101,55083101,55,101,83,87974039,5863890,Racine,Racine County (part),12056
622L600US55083127,55083127,55,127,83,39481967,235864,Walworth,Walworth County (part),806
622L600US55083133,55083133,55,133,83,192642025,14432065,Waukesha,Waukesha County (part),37252
622L600US55084079,55084079,55,79,84,25172450,14778,Milwaukee,Milwaukee County (part),39895
622L600US55084133,55084133,55,133,84,54864213,626929,Waukesha,Waukesha County (part),19634
622L600US55085073,55085073,55,73,85,893135870,13012317,Marathon,Marathon County (part),58671
622L600US55086073,55086073,55,73,86,1368655363,63691976,Marathon,Marathon County (part),53938
622L600US55086141,55086141,55,141,86,142282830,33270,Wood,Wood County (part),6524
622L600US55087019,55087019,55,19,87,89505171,477973,Clark,Clark County (part),840
622L600US55087073,55087073,55,73,87,540749727,100689,Marathon,Marathon County (part),5860
622L600US55087107,55087107,55,107,87,2366092262,44813690,Rusk,Rusk County,14188
622L600US55087113,55087113,55,113,87,2787353933,199870905,Sawyer,Sawyer County (part),16250
622L600US55087119,55087119,55,119,87,2525374187,24630990,Taylor,Taylor County,19913
622L600US55088009,55088009,55,9,88,205945779,318692,Brown,Brown County (part),62894
622L600US55089009,55089009,55,9,89,114479341,71605895,Brown,Brown County (part),19965
622L600US55089075,55089075,55,75,89,501552729,319143566,Marinette,Marinette County (part),22771
622L600US55089083,55089083,55,83,89,618236233,347381434,Oconto,Oconto County (part),17407
622L600US55090009,55090009,55,9,90,44716226,26515833,Brown,Brown County (part),57912
622L600US55091017,55091017,55,17,91,878540,0,Chippewa,Chippewa County (part),216
622L600US55091035,55091035,55,35,91,61206939,5219300,Eau Claire,Eau Claire County (part),59181
622L600US55092011,55092011,55,11,92,1644049964,83124957,Buffalo,Buffalo County (part),12996
622L600US55092053,55092053,55,53,92,1476333803,9813673,Jackson,Jackson County (part),18229
622L600US55092121,55092121,55,121,92,1805535506,23150634,Trempealeau,Trempealeau County (part),28109
622L600US55093011,55093011,55,11,93,106240854,4424572,Buffalo,Buffalo County (part),321
622L600US55093033,55093033,55,33,93,502725872,10847232,Dunn,Dunn County (part),4048
622L600US55093035,55093035,55,35,93,546507756,4016467,Eau Claire,Eau Claire County (part),21518
622L600US55093091,55093091,55,91,93,600894491,43241432,Pepin,Pepin County,7318
622L600US55093093,55093093,55,93,93,1362887440,48117192,Pierce,Pierce County (part),27451
622L600US55093109,55093109,55,109,93,2184873,719108,St. Croix,St. Croix County (part),11
622L600US55094063,55094063,55,63,94,1101077022,44674018,La Crosse,La Crosse County (part),62080
622L600US55095063,55095063,55,63,95,69089334,28485104,La Crosse,La Crosse County (part),58704
622L600US55096023,55096023,55,23,96,1477970925,73976386,Crawford,Crawford County,16113
622L600US55096081,55096081,55,81,96,1001198276,434972,Monroe,Monroe County (part),12468
622L600US55096123,55096123,55,123,96,1957351581,64247561,Vernon,Vernon County (part),29791
622L600US55097133,55097133,55,133,97,132769573,2841485,Waukesha,Waukesha County (part),56590
622L600US55098133,55098133,55,133,98,118987539,5860884,Waukesha,Waukesha County (part),61407
622L600US55099133,55099133,55,133,99,348824204,32757035,Waukesha,Waukesha County (part),57780
