GEOID,GEOCODE,STATE,COUNTY,COUSUB,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
623L600US5500613505625,5.50061E+12,55,135,5625,6,94977903,64946,Bear Creek,Bear Creek town,748
623L600US5500613515725,5.50061E+12,55,135,15725,6,11496192,244507,Clintonville,Clintonville city (part),4591
623L600US5500613523850,5.50061E+12,55,135,23850,6,3033335,61411,Embarrass,Embarrass village,353
623L600US5500613542650,5.50061E+12,55,135,42650,6,8061,9171,Larrabee,Larrabee town (part),0
623L600US5500613543075,5.50061E+12,55,135,43075,6,93122641,284030,Lebanon,Lebanon town,1619
623L600US5500613549975,5.50061E+12,55,135,49975,6,94785587,1586156,Matteson,Matteson town,914
623L600US5500707931175,5.50071E+12,55,79,31175,7,5519279,0,Greenfield,Greenfield city (part),7371
623L600US5500707953000,5.50071E+12,55,79,53000,7,13545153,0,Milwaukee,Milwaukee city (part),30863
623L600US5500707985300,5.50071E+12,55,79,85300,7,5674330,0,West Allis,West Allis city (part),17007
623L600US5500707985875,5.50071E+12,55,79,85875,7,2897232,0,West Milwaukee,West Milwaukee village,4114
623L600US5500807953000,5.50081E+12,55,79,53000,8,11034420,103122,Milwaukee,Milwaukee city (part),53999
623L600US5500907953000,5.50091E+12,55,79,53000,9,20670552,69151,Milwaukee,Milwaukee city (part),57339
623L600US5501007900000,5.50101E+12,55,79,0,10,0,946432,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5501007953000,5.50101E+12,55,79,53000,10,15699610,162274,Milwaukee,Milwaukee city (part),38769
623L600US5501007973725,5.50101E+12,55,79,73725,10,4117148,0,Shorewood,Shorewood village,13859
623L600US5501107929400,5.50111E+12,55,79,29400,11,7813157,419000,Glendale,Glendale city (part),6276
623L600US5501107953000,5.50111E+12,55,79,53000,11,28414313,62346,Milwaukee,Milwaukee city (part),47999
623L600US5501207953000,5.50121E+12,55,79,53000,12,43459875,168771,Milwaukee,Milwaukee city (part),54548
623L600US5501207984675,5.50121E+12,55,79,84675,12,1075238,0,Wauwatosa,Wauwatosa city (part),1757
623L600US5501307953000,5.50131E+12,55,79,53000,13,4905105,19352,Milwaukee,Milwaukee city (part),7843
623L600US5501307984675,5.50131E+12,55,79,84675,13,15634634,243,Wauwatosa,Wauwatosa city (part),20383
623L600US5501307985300,5.50131E+12,55,79,85300,13,4968772,14646,West Allis,West Allis city (part),6990
623L600US5501313310025,5.50131E+12,55,133,10025,13,22745791,242268,Brookfield,Brookfield city (part),14016
623L600US5501313310050,5.50131E+12,55,133,10050,13,9474752,88839,Brookfield,Brookfield town (part),6034
623L600US5501313323575,5.50131E+12,55,133,23575,13,8446287,47574,Elm Grove,Elm Grove village,6513
623L600US5501407953000,5.50141E+12,55,79,53000,14,2606552,0,Milwaukee,Milwaukee city (part),5998
623L600US5501407984675,5.50141E+12,55,79,84675,14,17548978,9179,Wauwatosa,Wauwatosa city (part),26247
623L600US5501413310025,5.50141E+12,55,133,10025,14,47980439,707757,Brookfield,Brookfield city (part),27448
623L600US5501413310050,5.50141E+12,55,133,10050,14,3623568,84117,Brookfield,Brookfield town (part),443
623L600US5501507985300,5.50151E+12,55,79,85300,15,18834269,46143,West Allis,West Allis city (part),36328
623L600US5501513356375,5.50151E+12,55,133,56375,15,39478740,499059,New Berlin,New Berlin city (part),20817
623L600US5501607953000,5.50161E+12,55,79,53000,16,17285465,75400,Milwaukee,Milwaukee city (part),53739
623L600US5501707953000,5.50171E+12,55,79,53000,17,18769804,0,Milwaukee,Milwaukee city (part),55343
623L600US5501807953000,5.50181E+12,55,79,53000,18,14601645,43754,Milwaukee,Milwaukee city (part),52987
623L600US5501907900000,5.50191E+12,55,79,0,19,0,8036543,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5501907953000,5.50191E+12,55,79,53000,19,17085772,914559,Milwaukee,Milwaukee city (part),62056
623L600US5502007900000,5.50201E+12,55,79,0,20,0,4062942,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5502007917975,5.50201E+12,55,79,17975,20,12364566,0,Cudahy,Cudahy city,18204
623L600US5502007953000,5.50201E+12,55,79,53000,20,25575514,0,Milwaukee,Milwaukee city (part),29447
623L600US5502007970650,5.50201E+12,55,79,70650,20,6649955,0,St. Francis,St. Francis city,9161
623L600US5502107900000,5.50211E+12,55,79,0,21,0,1394337988,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5502107927300,5.50211E+12,55,79,27300,21,2438501,0,Franklin,Franklin city (part),1808
623L600US5502107958800,5.50211E+12,55,79,58800,21,73678665,0,Oak Creek,Oak Creek city,36497
623L600US5502107975125,5.50211E+12,55,79,75125,21,12505971,21035,South Milwaukee,South Milwaukee city,20795
623L600US5502207953000,5.50221E+12,55,79,53000,22,7851031,2208,Milwaukee,Milwaukee city (part),6559
623L600US5502213124225,5.50221E+12,55,131,24225,22,92607961,1016014,Erin,Erin town,3825
623L600US5502213167475,5.50221E+12,55,131,67475,22,48998302,1415690,Richfield,Richfield village (part),7066
623L600US5502213311475,5.50221E+12,55,133,11475,22,2024156,27341,Butler,Butler village,1787
623L600US5502213333100,5.50221E+12,55,133,33100,22,1420,0,Hartland,Hartland village (part),0
623L600US5502213342450,5.50221E+12,55,133,42450,22,6403040,49716,Lannon,Lannon village,1355
623L600US5502213344850,5.50221E+12,55,133,44850,22,60186568,816009,Lisbon,Lisbon town (part),9282
623L600US5502213351000,5.50221E+12,55,133,51000,22,72626108,832670,Menomonee Falls,Menomonee Falls village (part),30613
623L600US5502213351375,5.50221E+12,55,133,51375,22,528008,0,Merton,Merton village (part),44
623L600US5502213351400,5.50221E+12,55,133,51400,22,2146,0,Merton,Merton town (part),0
623L600US5502213353000,5.50221E+12,55,133,53000,22,178457,13110,Milwaukee,Milwaukee city,0
623L600US5502213378750,5.50221E+12,55,133,78750,22,758838,0,Sussex,Sussex village (part),219
623L600US5502307900000,5.50231E+12,55,79,0,23,0,1044996528,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5502307905450,5.50231E+12,55,79,5450,23,5955566,0,Bayside,Bayside village,4378
623L600US5502307927075,5.50231E+12,55,79,27075,23,7407320,0,Fox Point,Fox Point village,6934
623L600US5502307986700,5.50231E+12,55,79,86700,23,5478616,0,Whitefish Bay,Whitefish Bay village,14954
623L600US5502308905450,5.50231E+12,55,89,5450,23,230041,0,Bayside,Bayside village,104
623L600US5502308930000,5.50231E+12,55,89,30000,23,13159488,163803,Grafton,Grafton village (part),12079
623L600US5502308930025,5.50231E+12,55,89,30025,23,45385701,690766,Grafton,Grafton town (part),4355
623L600US5502308951150,5.50231E+12,55,89,51150,23,51859262,1178635,Mequon,Mequon city (part),14667
623L600US5502308979475,5.50231E+12,55,89,79475,23,2687780,97274,Thiensville,Thiensville village,3290
623L600US5502407910375,5.50241E+12,55,79,10375,24,11383915,0,Brown Deer,Brown Deer village,12507
623L600US5502407929400,5.50241E+12,55,79,29400,24,7116881,100005,Glendale,Glendale city (part),7081
623L600US5502407968325,5.50241E+12,55,79,68325,24,13352910,452589,River Hills,River Hills village,1602
623L600US5502408951150,5.50241E+12,55,89,51150,24,68009661,577871,Mequon,Mequon city (part),10475
623L600US5502413128875,5.50241E+12,55,131,28875,24,89046619,62654,Germantown,Germantown village,20917
623L600US5502413128900,5.50241E+12,55,131,28900,24,4703764,0,Germantown,Germantown town (part),241
623L600US5502413153000,5.50241E+12,55,131,53000,24,56196,0,Milwaukee,Milwaukee city,0
623L600US5502413351000,5.50241E+12,55,133,51000,24,12607486,182451,Menomonee Falls,Menomonee Falls village (part),7914
623L600US5502501514000,5.5025E+12,55,15,14000,25,81231547,839645,Charlestown,Charlestown town,774
623L600US5502501514475,5.5025E+12,55,15,14475,25,10297677,120045,Chilton,Chilton city,4080
623L600US5502501514500,5.5025E+12,55,15,14500,25,84032912,379490,Chilton,Chilton town,1059
623L600US5502501534575,5.5025E+12,55,15,34575,25,3817007,0,Hilbert,Hilbert village,1248
623L600US5502501564675,5.5025E+12,55,15,64675,25,1310726,33966,Potter,Potter village,244
623L600US5502501566275,5.5025E+12,55,15,66275,25,82700206,1176235,Rantoul,Rantoul town,740
623L600US5502501589000,5.5025E+12,55,15,89000,25,17866,0,Woodville,Woodville town (part),0
623L600US5502507100000,5.50251E+12,55,71,0,25,0,2304069230,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5502507113237,5.50251E+12,55,71,13237,25,89422825,926507,Cato,Cato town,1621
623L600US5502507122275,5.50251E+12,55,71,22275,25,91153981,680405,Eaton,Eaton town,814
623L600US5502507143850,5.50251E+12,55,71,43850,25,90841874,1072167,Liberty,Liberty town,1245
623L600US5502507148500,5.50251E+12,55,71,48500,25,46053827,928275,Manitowoc,Manitowoc city,34626
623L600US5502507148525,5.50251E+12,55,71,48525,25,15793298,27239,Manitowoc,Manitowoc town,1076
623L600US5502507148575,5.50251E+12,55,71,48575,25,69518073,1189958,Manitowoc Rapids,Manitowoc Rapids town,2114
623L600US5502507148875,5.50251E+12,55,71,48875,25,91487967,113724,Maple Grove,Maple Grove town,773
623L600US5502507150625,5.50251E+12,55,71,50625,25,49595809,308114,Meeme,Meeme town (part),857
623L600US5502507157200,5.50251E+12,55,71,57200,25,88239167,720055,Newton,Newton town,2122
623L600US5502507166875,5.50251E+12,55,71,66875,25,3145910,10388,Reedsville,Reedsville village,1195
623L600US5502507168925,5.50251E+12,55,71,68925,25,88570173,2849482,Rockland,Rockland town,995
623L600US5502507171025,5.50251E+12,55,71,71025,25,2055498,55887,St. Nazianz,St. Nazianz village,714
623L600US5502507182200,5.50251E+12,55,71,82200,25,3726700,5714,Valders,Valders village,952
623L600US5502507186775,5.50251E+12,55,71,86775,25,1360818,11694,Whitelaw,Whitelaw village,737
623L600US5502611700000,5.50261E+12,55,117,0,26,0,1942693565,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5502611700450,5.50261E+12,55,117,450,26,1444832,30313,Adell,Adell village,498
623L600US5502611713475,5.50261E+12,55,117,13475,26,5657428,86188,Cedar Grove,Cedar Grove village,2101
623L600US5502611735375,5.50261E+12,55,117,35375,26,105169551,566367,Holland,Holland town,2273
623L600US5502611744150,5.50261E+12,55,117,44150,26,92098082,653596,Lima,Lima town,2956
623L600US5502611760100,5.50261E+12,55,117,60100,26,5081540,1019,Oostburg,Oostburg village,3056
623L600US5502611766200,5.50261E+12,55,117,66200,26,3687167,880498,Random Lake,Random Lake village,1561
623L600US5502611772975,5.50261E+12,55,117,72975,26,29407204,403460,Sheboygan,Sheboygan city (part),33215
623L600US5502611773000,5.50261E+12,55,117,73000,26,382,1831,Sheboygan,Sheboygan town (part),0
623L600US5502611773025,5.50261E+12,55,117,73025,26,13724253,363295,Sheboygan Falls,Sheboygan Falls city (part),8114
623L600US5502611773425,5.50261E+12,55,117,73425,26,87860968,473394,Sherman,Sherman town,1452
623L600US5502611787500,5.50261E+12,55,117,87500,26,55736435,371146,Wilson,Wilson town,3484
623L600US5502701539525,5.5027E+12,55,15,39525,27,1072535,1914,Kiel,Kiel city (part),346
623L600US5502701556825,5.5027E+12,55,15,56825,27,6764,0,New Holstein,New Holstein town (part),0
623L600US5502707100000,5.50271E+12,55,71,0,27,0,7065497,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5502707113750,5.50271E+12,55,71,13750,27,61649824,112508,Centerville,Centerville town,631
623L600US5502707115400,5.50271E+12,55,71,15400,27,5115767,14847,Cleveland,Cleveland village,1579
623L600US5502707139525,5.50271E+12,55,71,39525,27,5447098,330011,Kiel,Kiel city,3585
623L600US5502707150625,5.50271E+12,55,71,50625,27,43953602,135731,Meeme,Meeme town (part),583
623L600US5502707172075,5.50271E+12,55,71,72075,27,85328074,1953436,Schleswig,Schleswig town,1912
