GEOID,GEOCODE,STATE,SLDL18,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
627L600US5506217220,5506217220,55,62,17220,,,1831024,0,Yorkville Joint No. 2 School District,Yorkville Joint No. 2 School District (part),80
627L600US5506299999,5506299999,55,62,99999,,,149240641,1175620812,62,Remainder of Assembly District 62,51424
627L600US5506303750,5506303750,55,63,3750,,,28712859,57787,Dover No. 1 School District,Dover No. 1 School District,1943
627L600US5506312510,5506312510,55,63,12510,,,517372,0,North Cape School District,North Cape School District (part),19
627L600US5506315180,5506315180,55,63,15180,,,20354752,33319,Union Grove Joint No. 1 School District,Union Grove Joint No. 1 School District (part),5226
627L600US5506315660,5506315660,55,63,15660,,,44726434,446579,Waterford Joint No. 1 School District,Waterford Joint No. 1 School District (part),3309
627L600US5506317220,5506317220,55,63,17220,,,75076304,276224,Yorkville Joint No. 2 School District,Yorkville Joint No. 2 School District (part),2883
627L600US5506399999,5506399999,55,63,99999,,,244612175,6072184,63,Remainder of Assembly District 63,46428
627L600US5506401710,5506401710,55,64,1710,,,3585712,18498,Bristol No. 1 School District,Bristol No. 1 School District (part),1302
627L600US5506411400,5506411400,55,64,11400,,,3026058,0,Paris Joint No. 1 School District,Paris Joint No. 1 School District (part),39
627L600US5506499999,5506499999,55,64,99999,,,75702859,384878,64,Remainder of Assembly District 64,56504
627L600US5506599999,5506599999,55,65,99999,,,25658523,3466092,65,Assembly District 65,57248
627L600US5506699999,5506699999,55,66,99999,,,26055729,314651,66,Assembly District 66,56026
627L600US5506799999,5506799999,55,67,99999,,,3391965986,90698227,67,Assembly District 67,60513
627L600US5506899999,5506899999,55,68,99999,,,3013584010,34493603,68,Assembly District 68,61896
627L600US5506999999,5506999999,55,69,99999,,,2780176428,15890717,69,Assembly District 69,57134
627L600US5507099999,5507099999,55,70,99999,,,3875674135,96135080,70,Assembly District 70,58276
627L600US5507199999,5507199999,55,71,99999,,,1255252942,26486454,71,Assembly District 71,57866
627L600US5507299999,5507299999,55,72,99999,,,2305464171,101626020,72,Assembly District 72,57669
627L600US5507399999,5507399999,55,73,99999,,,5121685484,616806490,73,Assembly District 73,58507
627L600US5507401530,5507401530,55,74,1530,,,178839,0,North Lakeland School District,North Lakeland School District (part),6
627L600US5507404620,5507404620,55,74,4620,,,256708439,73941941,Lac du Flambeau No. 1 School District,Lac du Flambeau No. 1 School District,3552
627L600US5507499999,5507499999,55,74,99999,,,12676410081,5216108737,74,Remainder of Assembly District 74,55452
627L600US5507599999,5507599999,55,75,99999,,,3731888311,156803562,75,Assembly District 75,58751
627L600US5507699999,5507699999,55,76,99999,,,16894437,151026,76,Assembly District 76,71685
627L600US5507799999,5507799999,55,77,99999,,,43762971,53593743,77,Assembly District 77,62992
627L600US5507899999,5507899999,55,78,99999,,,50888936,152873,78,Assembly District 78,67142
627L600US5507999999,5507999999,55,79,99999,,,485302607,5475462,79,Assembly District 79,69732
627L600US5508099999,5508099999,55,80,99999,,,1942801026,2914019,80,Assembly District 80,65830
627L600US5508199999,5508199999,55,81,99999,,,1785745609,72963707,81,Assembly District 81,59943
627L600US5508299999,5508299999,55,82,99999,,,107001669,294054,82,Assembly District 82,59196
627L600US5508315660,5508315660,55,83,15660,,,66418481,4801074,Waterford Joint No. 1 School District,Waterford Joint No. 1 School District (part),10137
627L600US5508315700,5508315700,55,83,15700,,,21991733,1064357,Washington-Caldwell School District,Washington-Caldwell School District (part),1927
627L600US5508399999,5508399999,55,83,99999,,,241028279,14682270,83,Remainder of Assembly District 83,46706
627L600US5508499999,5508499999,55,84,99999,,,80036663,641707,84,Assembly District 84,59529
627L600US5508599999,5508599999,55,85,99999,,,893135870,13012317,85,Assembly District 85,58671
627L600US5508699999,5508699999,55,86,99999,,,1510938193,63725246,86,Assembly District 86,60462
627L600US5508799999,5508799999,55,87,99999,,,8309075280,269894247,87,Assembly District 87,57051
627L600US5508899999,5508899999,55,88,99999,,,205945779,318692,88,Assembly District 88,62894
627L600US5508999999,5508999999,55,89,99999,,,1234268303,738130895,89,Assembly District 89,60143
627L600US5509099999,5509099999,55,90,99999,,,44716226,26515833,90,Assembly District 90,57912
